BOROUGH,2012,2013,2014,2015,2016,2017,2018
BRONX,2878,6259,5886,5626,5996,5748,1752
BROOKLYN,7525,15410,14245,13706,13398,11953,3640
MANHATTAN,3867,7584,6906,6529,6175,5591,1608
QUEENS,5506,10687,10031,10423,10884,10039,3042
STATEN ISLAND,1245,2111,1577,1547,1468,1544,375
