BOROUGH,2012,2013,2014,2015,2016,2017,2018
BRONX,98.0,193.0,186.0,181.0,65.0,12.0,
BROOKLYN,303.0,628.0,674.0,734.0,303.0,12.0,5.0
MANHATTAN,206.0,391.0,368.0,389.0,120.0,4.0,2.0
QUEENS,369.0,616.0,606.0,750.0,271.0,8.0,5.0
STATEN ISLAND,31.0,71.0,65.0,80.0,20.0,6.0,3.0
