BOROUGH,2012,2013,2014,2015,2016,2017,2018
BRONX,10.0,7.0,17.0,5.0,179.0,884.0,299.0
BROOKLYN,7.0,14.0,21.0,20.0,600.0,1808.0,453.0
MANHATTAN,5.0,11.0,20.0,11.0,612.0,1924.0,539.0
QUEENS,4.0,9.0,34.0,15.0,545.0,1642.0,514.0
STATEN ISLAND,3.0,3.0,5.0,,53.0,165.0,52.0
