BOROUGH,2012,2013,2014,2015,2016,2017,2018
BRONX,17.0,27.0,36.0,25.0,84.0,246.0,79.0
BROOKLYN,46.0,61.0,101.0,88.0,217.0,521.0,166.0
MANHATTAN,63.0,69.0,83.0,91.0,145.0,360.0,121.0
QUEENS,44.0,71.0,68.0,84.0,158.0,487.0,134.0
STATEN ISLAND,4.0,9.0,15.0,8.0,38.0,118.0,29.0
