BOROUGH,2012,2013,2014,2015,2016,2017,2018
BRONX,138.0,270.0,262.0,323.0,262.0,759.0,245.0
BROOKLYN,293.0,563.0,684.0,776.0,661.0,1117.0,284.0
MANHATTAN,701.0,1632.0,1924.0,2195.0,1036.0,946.0,284.0
QUEENS,204.0,426.0,511.0,691.0,511.0,1026.0,292.0
STATEN ISLAND,34.0,75.0,63.0,88.0,95.0,217.0,67.0
