BOROUGH,2012,2013,2014,2015,2016,2017,2018
BRONX,250.0,512.0,750.0,1068.0,475.0,1112.0,381.0
BROOKLYN,315.0,643.0,756.0,1296.0,734.0,1141.0,303.0
MANHATTAN,1059.0,2301.0,3257.0,4669.0,1492.0,1107.0,362.0
QUEENS,259.0,439.0,728.0,861.0,378.0,595.0,194.0
STATEN ISLAND,44.0,98.0,41.0,468.0,160.0,71.0,19.0
