BOROUGH,2012,2013,2014,2015,2016,2017,2018
BRONX,113.0,200.0,176.0,182.0,73.0,60.0,12.0
BROOKLYN,218.0,402.0,472.0,562.0,183.0,113.0,24.0
MANHATTAN,203.0,452.0,487.0,455.0,200.0,73.0,28.0
QUEENS,227.0,403.0,344.0,468.0,139.0,63.0,17.0
STATEN ISLAND,36.0,67.0,73.0,68.0,38.0,12.0,9.0
