BOROUGH,2012,2013,2014,2015,2016,2017,2018
BRONX,1970,4292,4025,3891,4272,4147,1262
BROOKLYN,4805,10230,9487,9165,9028,8147,2496
MANHATTAN,1924,3643,3166,3051,3046,2940,728
QUEENS,3932,7639,7122,7655,8135,7541,2258
STATEN ISLAND,1017,1760,1308,1281,1207,1282,319
