BOROUGH,2012,2013,2014,2015,2016,2017,2018
BRONX,56.0,76.0,91.0,108.0,83.0,115.0,47.0
BROOKLYN,139.0,272.0,403.0,530.0,296.0,350.0,107.0
MANHATTAN,191.0,335.0,329.0,376.0,218.0,347.0,107.0
QUEENS,72.0,170.0,180.0,248.0,143.0,207.0,67.0
STATEN ISLAND,5.0,14.0,17.0,12.0,16.0,28.0,13.0
