BOROUGH,2012,2013,2014,2015,2016,2017,2018
BRONX,93.0,194.0,201.0,204.0,150.0,259.0,75.0
BROOKLYN,154.0,316.0,376.0,407.0,337.0,572.0,133.0
MANHATTAN,102.0,256.0,274.0,212.0,176.0,234.0,61.0
QUEENS,191.0,353.0,428.0,454.0,336.0,499.0,151.0
STATEN ISLAND,25.0,54.0,82.0,72.0,68.0,97.0,20.0
