BOROUGH,2012,2013,2014,2015,2016,2017,2018
BRONX,17,32,19,26,19,17,3
BROOKLYN,33,67,67,67,32,40,10
MANHATTAN,21,39,35,22,33,31,2
QUEENS,28,71,52,51,32,39,16
STATEN ISLAND,11,4,10,12,9,8,2
