BOROUGH,2012,2013,2014,2015,2016,2017,2018
BRONX,8,25,10,11,14,9,1
BROOKLYN,19,30,42,46,19,20,7
MANHATTAN,17,29,25,18,29,22,1
QUEENS,15,45,26,25,21,23,11
STATEN ISLAND,3,3,5,5,3,4,0
