BOROUGH,2012,2013,2014,2015,2016,2017,2018
BRONX,133.0,280.0,305.0,288.0,139.0,22.0,7.0
BROOKLYN,518.0,966.0,1269.0,1585.0,631.0,49.0,5.0
MANHATTAN,722.0,1369.0,1658.0,1938.0,654.0,13.0,6.0
QUEENS,329.0,527.0,677.0,1013.0,430.0,35.0,8.0
STATEN ISLAND,18.0,66.0,54.0,91.0,30.0,9.0,2.0
