BOROUGH,2012,2013,2014,2015,2016,2017,2018
BRONX,282.0,505.0,595.0,606.0,587.0,1344.0,432.0
BROOKLYN,546.0,1105.0,1445.0,1739.0,1406.0,2443.0,749.0
MANHATTAN,460.0,1132.0,1339.0,1393.0,964.0,1409.0,392.0
QUEENS,525.0,1047.0,1362.0,1789.0,1465.0,2684.0,814.0
STATEN ISLAND,66.0,152.0,168.0,187.0,231.0,473.0,130.0
