BOROUGH,2012,2013,2014,2015,2016,2017,2018
BRONX,1024.0,2108.0,2027.0,3049.0,2451.0,3465.0,848.0
BROOKLYN,1800.0,3513.0,4425.0,5782.0,5298.0,9260.0,2659.0
MANHATTAN,2490.0,5413.0,5595.0,6773.0,5362.0,8709.0,2667.0
QUEENS,2205.0,4735.0,5354.0,6801.0,6189.0,9615.0,2907.0
STATEN ISLAND,368.0,795.0,880.0,974.0,1069.0,1612.0,409.0
