BOROUGH,2012,2013,2014,2015,2016,2017,2018
BRONX,155,295,356,363,358,335,50
BROOKLYN,878,1539,1409,1513,1447,1320,233
MANHATTAN,553,1130,1155,1191,1100,984,250
QUEENS,402,721,714,764,720,718,103
STATEN ISLAND,27,35,39,30,41,51,5
