BOROUGH,2012,2013,2014,2015,2016,2017,2018
BRONX,1,1,1,3,1,2,0
BROOKLYN,2,4,4,4,7,8,1
MANHATTAN,1,2,5,1,3,8,0
QUEENS,2,1,6,6,2,4,0
STATEN ISLAND,0,0,0,1,1,0,0
