BOROUGH,2012,2013,2014,2015,2016,2017,2018
BRONX,6.0,16.0,17.0,13.0,296.0,1292.0,469.0
BROOKLYN,13.0,25.0,26.0,42.0,911.0,2798.0,841.0
MANHATTAN,12.0,26.0,15.0,12.0,768.0,2358.0,661.0
QUEENS,17.0,39.0,24.0,20.0,731.0,2504.0,767.0
STATEN ISLAND,4.0,12.0,8.0,12.0,169.0,568.0,153.0
