BOROUGH,2012,2013,2014,2015,2016,2017,2018
BRONX,182.0,395.0,371.0,372.0,145.0,4.0,
BROOKLYN,391.0,858.0,958.0,1183.0,394.0,3.0,1.0
MANHATTAN,526.0,1091.0,1252.0,1186.0,374.0,1.0,2.0
QUEENS,384.0,685.0,742.0,985.0,337.0,4.0,2.0
STATEN ISLAND,60.0,121.0,103.0,106.0,60.0,1.0,
