BOROUGH,2012,2013,2014,2015,2016,2017,2018
BRONX,54.0,185.0,287.0,318.0,122.0,214.0,129.0
BROOKLYN,141.0,269.0,456.0,608.0,311.0,367.0,158.0
MANHATTAN,66.0,188.0,296.0,298.0,122.0,191.0,73.0
QUEENS,134.0,373.0,527.0,585.0,312.0,385.0,198.0
STATEN ISLAND,60.0,136.0,106.0,117.0,90.0,129.0,69.0
