BOROUGH,2012,2013,2014,2015,2016,2017,2018
BRONX,390.0,746.0,613.0,615.0,538.0,1202.0,420.0
BROOKLYN,1017.0,2049.0,2484.0,2909.0,2224.0,3500.0,1094.0
MANHATTAN,658.0,1474.0,1922.0,1830.0,1139.0,1683.0,474.0
QUEENS,1142.0,2157.0,2174.0,3037.0,2479.0,3902.0,1246.0
STATEN ISLAND,95.0,264.0,305.0,285.0,286.0,596.0,145.0
