BOROUGH,2012,2013,2014,2015,2016,2017,2018
BRONX,149.0,257.0,240.0,313.0,189.0,314.0,72.0
BROOKLYN,306.0,506.0,528.0,593.0,407.0,707.0,195.0
MANHATTAN,248.0,536.0,639.0,635.0,502.0,927.0,204.0
QUEENS,275.0,472.0,509.0,506.0,386.0,632.0,151.0
STATEN ISLAND,29.0,79.0,122.0,101.0,81.0,96.0,26.0
