BOROUGH,2012,2013,2014,2015,2016,2017,2018
BRONX,8,6,8,12,4,6,2
BROOKLYN,12,33,21,17,5,13,2
MANHATTAN,3,8,5,3,1,3,1
QUEENS,11,25,20,20,9,12,5
STATEN ISLAND,8,1,5,6,5,5,2
