BOROUGH,2012,2013,2014,2015,2016,2017,2018
BRONX,99.0,211.0,249.0,259.0,169.0,465.0,168.0
BROOKLYN,195.0,475.0,652.0,717.0,559.0,958.0,214.0
MANHATTAN,150.0,351.0,369.0,395.0,235.0,357.0,86.0
QUEENS,232.0,474.0,482.0,624.0,548.0,1041.0,284.0
STATEN ISLAND,39.0,98.0,71.0,99.0,59.0,133.0,35.0
