BOROUGH,2012,2013,2014,2015,2016,2017,2018
BRONX,5.0,8.0,11.0,9.0,160.0,587.0,236.0
BROOKLYN,9.0,15.0,14.0,26.0,305.0,896.0,281.0
MANHATTAN,5.0,11.0,18.0,17.0,604.0,1757.0,489.0
QUEENS,8.0,10.0,11.0,16.0,201.0,677.0,203.0
STATEN ISLAND,,1.0,1.0,5.0,44.0,133.0,36.0
