BOROUGH,2012,2013,2014,2015,2016,2017,2018
BRONX,12.0,17.0,13.0,19.0,104.0,332.0,105.0
BROOKLYN,11.0,28.0,45.0,62.0,271.0,606.0,144.0
MANHATTAN,15.0,37.0,36.0,38.0,85.0,234.0,59.0
QUEENS,25.0,34.0,44.0,44.0,202.0,634.0,153.0
STATEN ISLAND,3.0,12.0,8.0,13.0,50.0,148.0,39.0
