BOROUGH,2012,2013,2014,2015,2016,2017,2018
BRONX,256.0,577.0,583.0,666.0,234.0,24.0,7.0
BROOKLYN,710.0,1504.0,1986.0,2690.0,929.0,49.0,13.0
MANHATTAN,921.0,1937.0,2279.0,2408.0,853.0,25.0,7.0
QUEENS,719.0,1343.0,1499.0,2049.0,742.0,45.0,10.0
STATEN ISLAND,139.0,334.0,288.0,265.0,121.0,9.0,4.0
